section,experiment,source,metric,value,unit,notes
weight_drift,stage1_21700,runs/mem_temporal_libero/checkpoints/weights/step_021700.pt,vae_temporal_gate,0.83203125,value,
weight_drift,stage2_3000,runs/mem_temporal_libero_stage2/checkpoints/weights/step_003000.pt,video_patch_embedding_rel_l2,0.2588537,ratio,relative to release
weight_drift,stage2_6000,runs/mem_temporal_libero_stage2/checkpoints/weights/step_006000.pt,video_patch_embedding_rel_l2,0.2714524,ratio,relative to release
weight_drift,stage2_6000,runs/mem_temporal_libero_stage2/checkpoints/weights/step_006000.pt,vae_temporal_gate,0.080078125,value,
weight_drift,stage3_0500,runs/mem_temporal_libero_stage3/checkpoints/weights/step_000500.pt,video_patch_embedding_rel_l2,0.1595376,ratio,relative to release
weight_drift,stage3_0500,runs/mem_temporal_libero_stage3/checkpoints/weights/step_000500.pt,video_blocks_rel_l2,0.2743809,ratio,relative to release
weight_drift,stage3_0500,runs/mem_temporal_libero_stage3/checkpoints/weights/step_000500.pt,action_blocks_other_rel_l2,0.1647984,ratio,relative to release
weight_drift,stage3_0500,runs/mem_temporal_libero_stage3/checkpoints/weights/step_000500.pt,action_head_rel_l2,1.862426,ratio,relative to release
weight_drift,stage3_0500,runs/mem_temporal_libero_stage3/checkpoints/weights/step_000500.pt,proprio_encoder_rel_l2,1.426230,ratio,relative to release
weight_drift,stage3_1000,runs/mem_temporal_libero_stage3/checkpoints/weights/step_001000.pt,video_blocks_rel_l2,0.2741303,ratio,relative to release
weight_drift,stage3_1000,runs/mem_temporal_libero_stage3/checkpoints/weights/step_001000.pt,action_head_rel_l2,1.860582,ratio,relative to release
weight_drift,stage3_1000,runs/mem_temporal_libero_stage3/checkpoints/weights/step_001000.pt,proprio_encoder_rel_l2,1.426217,ratio,relative to release
weight_drift,stage3_4000,runs/mem_temporal_libero_stage3/checkpoints/weights/step_004000.pt,video_patch_embedding_rel_l2,0.1587710,ratio,relative to release
weight_drift,stage3_4000,runs/mem_temporal_libero_stage3/checkpoints/weights/step_004000.pt,video_blocks_rel_l2,0.2737000,ratio,relative to release
weight_drift,stage3_4000,runs/mem_temporal_libero_stage3/checkpoints/weights/step_004000.pt,action_blocks_other_rel_l2,0.1649520,ratio,relative to release
weight_drift,stage3_4000,runs/mem_temporal_libero_stage3/checkpoints/weights/step_004000.pt,action_head_rel_l2,1.858973,ratio,relative to release
weight_drift,stage3_4000,runs/mem_temporal_libero_stage3/checkpoints/weights/step_004000.pt,proprio_encoder_rel_l2,1.426185,ratio,relative to release
weight_drift,stage3_4000,runs/mem_temporal_libero_stage3/checkpoints/weights/step_004000.pt,vae_temporal_gate,0.0016555786,value,
weight_delta,stage3_0500_to_4000,derived from step_000500.pt and step_004000.pt,video_patch_embedding_rel_l2,0.008593036,ratio,step500 as denominator
weight_delta,stage3_0500_to_4000,derived from step_000500.pt and step_004000.pt,video_blocks_rel_l2,0.01372899,ratio,step500 as denominator
weight_delta,stage3_0500_to_4000,derived from step_000500.pt and step_004000.pt,action_blocks_other_rel_l2,0.006706514,ratio,step500 as denominator
weight_delta,stage3_0500_to_4000,derived from step_000500.pt and step_004000.pt,action_head_rel_l2,0.007876023,ratio,step500 as denominator
weight_delta,stage3_0500_to_4000,derived from step_000500.pt and step_004000.pt,proprio_encoder_rel_l2,0.001311383,ratio,step500 as denominator
latent_random,fresh_gate0_K0_zero,synthetic random current + no history,rel_l2,0,ratio,control; encode_memory equals encode
latent_random,fresh_gate0_K0_zero,synthetic random current + no history,cosine,1,ratio,control; encode_memory equals encode
latent_random,fresh_gate0_K4_zero,synthetic current + 4 zero history frames,rel_l2,1.379350,ratio,temporal_gate forced 0
latent_random,fresh_gate0_K4_repeat,synthetic current + 4 repeated current history frames,rel_l2,0.921776,ratio,temporal_gate forced 0
latent_random,fresh_gate0_K4_random,synthetic current + 4 random history frames,rel_l2,0.558340,ratio,temporal_gate forced 0
latent_random,fresh_gate0_K16_zero,synthetic current + 16 zero history frames,rel_l2,1.461572,ratio,temporal_gate forced 0
latent_random,fresh_gate0_K16_repeat,synthetic current + 16 repeated current history frames,rel_l2,0.919460,ratio,temporal_gate forced 0
latent_random,fresh_gate0_K16_random,synthetic current + 16 random history frames,rel_l2,0.597823,ratio,temporal_gate forced 0
latent_random,stage1_21700_K4_random,synthetic current + 4 random history frames,rel_l2,0.636559,ratio,actual vae_memory loaded
latent_random,stage1_21700_K16_random,synthetic current + 16 random history frames,rel_l2,0.582125,ratio,actual vae_memory loaded
latent_random,stage1_21700_K16_repeat,synthetic current + 16 repeated current history frames,rel_l2,0.610107,ratio,actual vae_memory loaded
latent_random,stage2_6000_K4_random,synthetic current + 4 random history frames,rel_l2,0.651426,ratio,actual vae_memory loaded
latent_random,stage2_6000_K16_random,synthetic current + 16 random history frames,rel_l2,0.708799,ratio,actual vae_memory loaded
latent_random,stage2_6000_K16_repeat,synthetic current + 16 repeated current history frames,rel_l2,0.952831,ratio,actual vae_memory loaded
latent_random,stage3_4000_K4_random,synthetic current + 4 random history frames,rel_l2,0.558343,ratio,actual vae_memory loaded
latent_random,stage3_4000_K16_random,synthetic current + 16 random history frames,rel_l2,0.597818,ratio,actual vae_memory loaded
latent_random,stage3_4000_K16_repeat,synthetic current + 16 repeated current history frames,rel_l2,0.919436,ratio,actual vae_memory loaded
latent_real,sample_1234,RobotVideoDataset from stage3 config,dataset_len,277713,count,
latent_real,sample_1234,RobotVideoDataset from stage3 config,video_shape,"[3,9,224,448]",shape,
latent_real,sample_1234,RobotVideoDataset from stage3 config,history_shape,"[3,4,224,448]",shape,
latent_real,fresh_gate0_sample_1234,actual training sample idx=1234,rel_l2,1.3061008,ratio,temporal_gate forced 0
latent_real,fresh_gate0_sample_1234,actual training sample idx=1234,cosine,0.5717559,ratio,
latent_real,fresh_gate0_sample_1234,actual training sample idx=1234,mean_abs,0.4550667,value,
latent_real,fresh_gate0_sample_1234,actual training sample idx=1234,max_abs,4.0859375,value,
latent_real,stage1_21700_sample_1234,actual training sample idx=1234,rel_l2,0.6658195,ratio,actual vae_memory loaded
latent_real,stage1_21700_sample_1234,actual training sample idx=1234,cosine,0.7520684,ratio,
latent_real,stage1_21700_sample_1234,actual training sample idx=1234,mean_abs,0.2375108,value,
latent_real,stage1_21700_sample_1234,actual training sample idx=1234,max_abs,1.9375,value,
latent_real,stage2_6000_sample_1234,actual training sample idx=1234,rel_l2,1.3036162,ratio,actual vae_memory loaded
latent_real,stage2_6000_sample_1234,actual training sample idx=1234,cosine,0.5786446,ratio,
latent_real,stage2_6000_sample_1234,actual training sample idx=1234,mean_abs,0.4442683,value,
latent_real,stage2_6000_sample_1234,actual training sample idx=1234,max_abs,4.2734375,value,
latent_real,stage3_4000_sample_1234,actual training sample idx=1234,rel_l2,1.3061141,ratio,actual vae_memory loaded
latent_real,stage3_4000_sample_1234,actual training sample idx=1234,cosine,0.5717857,ratio,
latent_real,stage3_4000_sample_1234,actual training sample idx=1234,mean_abs,0.4550890,value,
latent_real,stage3_4000_sample_1234,actual training sample idx=1234,max_abs,4.0859375,value,
diffmap_real,fresh_gate0_sample_1234,actual training sample idx=1234,diffmap_min,0.175979,value,mean abs across latent channels; 14x28 map
diffmap_real,fresh_gate0_sample_1234,actual training sample idx=1234,diffmap_p50,0.398542,value,
diffmap_real,fresh_gate0_sample_1234,actual training sample idx=1234,diffmap_p90,0.739672,value,
diffmap_real,fresh_gate0_sample_1234,actual training sample idx=1234,diffmap_max,1.105782,value,
diffmap_real,stage2_6000_sample_1234,actual training sample idx=1234,diffmap_min,0.134222,value,mean abs across latent channels; 14x28 map
diffmap_real,stage2_6000_sample_1234,actual training sample idx=1234,diffmap_p50,0.378493,value,
diffmap_real,stage2_6000_sample_1234,actual training sample idx=1234,diffmap_p90,0.760568,value,
diffmap_real,stage2_6000_sample_1234,actual training sample idx=1234,diffmap_max,1.114703,value,
diffmap_real,stage3_4000_sample_1234,actual training sample idx=1234,diffmap_min,0.176365,value,mean abs across latent channels; 14x28 map
diffmap_real,stage3_4000_sample_1234,actual training sample idx=1234,diffmap_p50,0.398597,value,
diffmap_real,stage3_4000_sample_1234,actual training sample idx=1234,diffmap_p90,0.739457,value,
diffmap_real,stage3_4000_sample_1234,actual training sample idx=1234,diffmap_max,1.105802,value,
